Feature1,Feature2,Feature3,Feature4,Feature5
120.6331553,38.2153015,7025.72543,674.161,130.209
118.1179199,39.0462946,9631.79712,956.023,258.037
114.520813,40.365921,11917.82492,1024.991,258.325
117.3602295,39.1241998,0,0,295.313
114.6806667,39.203064,8412.5823,784.822,133.183
116.5361328,39.2378106,5090.2219,702.262,29.201
116.8879633,39.3491821,4305.35235,512.626,336.584
115.8727417,39.7297746,3832.90661,556.491,86.757
114.0426835,38.9702454,9784.19898,800.223,162.907
117.0609131,38.7285756,9426.05462,762.813,183.759
118.1618042,39.0361928,6538.0395,745.731,255.032
116.9920654,39.8191549,5829.37089,705.612,180
119.0734863,38.8865739,8869.78786,985.676,251.94
115.4907837,39.7527714,6484.69885,574.884,87.045
116.3309326,38.774383,4206.29115,638.604,286.858
116.9418202,39.6111145,3238.53938,592.64,0
117.0158691,39.309501,7307.66886,762.813,183.759
114.6905783,38.3511301,9799.43916,836.366,184.827
117.7470703,38.9169725,1562.119,364.802,60.832
116.2749634,38.7572518,4785.41819,615.525,332.201
117.9805298,38.7696347,8412.5823,725.691,64.612
117.1190796,39.1279007,11300.59742,917.002,238.461
117.1190796,39.1279007,11300.59742,917.908,239.036
117.4057007,39.3022389,815.34991,404.957,98.945
116.0580776,38.3589509,6438.9783,747.19,334.451
117.1055506,38.2964172,8862.16776,792.052,183.217
116.9985268,40.1082909,10706.23019,902.844,339.967
120.132693,37.8797607,7193.36747,703.382,96.957
116.9334984,36.4224701,6477.07876,758.262,345.285
118.8869377,38.9069366,8107.77859,796.509,253.798
116.3901752,38.9521179,5570.28773,676.284,329.924
121.2380119,38.0523113,10698.6101,897.121,334.44
117.3455081,39.1337585,0,0,205.313
115.7158296,37.7333353,7109.54645,791.359,335.234
114.6806667,39.203064,8412.5823,784.822,133.183
116.5361328,39.2378106,5090.2219,702.279,30.42
120.2878139,38.5196686,11308.21751,985.405,258.289
116.8079834,39.1916773,4206.29115,511.316,1.453
116.6119995,39.8323292,1493.53816,375.12,7.09
114.6480063,38.7422333,8412.5823,762.241,185.018
116.8879633,39.3491821,4305.35235,512.626,336.584
116.7653822,38.8601532,2514.63058,415.088,295.079
115.6171875,38.6911942,3634.7842,646.433,265.564
115.8947754,40.1754192,7300.04877,761.181,90.279
116.9918823,38.9709266,1638.31992,390.772,0
117.6491845,37.1301114,7802.97488,773.493,330.919
116.8186788,38.3397217,9479.39527,740.267,191.985
117.1059596,37.9359283,9479.39527,752.398,184.518
115.4414063,39.7510955,9784.19898,770.383,133.247
115.9356159,38.2237632,3596.68374,577.055,160.111
120.1245714,38.3607198,6309.43672,792.539,191.73
117.0159302,39.3087562,7307.66886,762.813,183.759
116.8942261,40.694046,3596.68374,586.733,126.4
118.2135334,37.5178528,8869.78786,840.394,204.475
117.4057007,39.3022389,815.34991,404.674,98.686
116.9192505,39.1211972,8130.63887,752.24,185.935
116.916748,39.5060445,10089.00268,873.557,188.903
118.1688259,38.6940765,9174.59156,863.127,64.315
120.6322114,38.2145924,7033.34553,674.161,130.209
116.2758935,38.7587128,4785.41819,615.525,332.201
116.6278687,39.7206969,2087.90539,383.436,1.107
116.9920349,39.8170624,5844.61107,705.612,180
120.4852693,38.2036991,9784.19898,741.439,133.583
116.9169922,39.5047411,10089.00268,873.557,188.903
116.8882022,39.3496399,4305.35235,512.626,336.584
114.6849352,38.4047699,12222.62863,862.841,185.172
117.4570546,38.1673279,6797.12265,718.92,206.301
114.6298828,38.9456022,11597.78103,848.461,178.624
119.5640259,38.7568794,8869.78786,977.549,252.355
117.9797363,38.7699606,8412.5823,725.691,64.612
118.8883667,38.9065914,8107.77859,796.509,253.798
116.9905396,38.5695532,11026.27408,881.073,186.154
117.346344,39.1679535,243.84297,243.571,205.201
119.9187012,38.663449,6888.56376,815.406,232.011
116.0477101,40.1667139,5745.54987,665.188,131.501
118.6980803,38.4555817,6880.94367,685.823,64.058
117.1061375,37.9342548,9479.39527,752.398,184.518
117.36026,39.1242231,0,0,295.313
117.3589325,39.1275981,0,0,115.313
117.1055506,38.2964172,8862.16776,792.158,183.351
117.405097,39.3021698,815.34991,404.674,98.686
117.7467041,38.9171587,1562.119,364.802,60.832
116.1806072,40.2414768,4053.8893,537.846,126.317
115.1099097,39.5140686,10454.76713,803.326,132.851
116.4390166,39.6835327,2781.33382,382.719,219.699
116.3932495,38.9562626,5547.42746,676.284,329.924
118.0442147,38.5104218,5067.36162,699.105,334.25
117.3455048,39.1337663,0,0,205.313
118.1663208,38.6950115,9174.59156,863.127,64.315
116.9126587,40.681778,10081.38259,791.43,182.28
118.1179199,39.0462946,9631.79712,956.023,258.037
117.6491845,37.1301114,7802.97488,774.395,330.799
118.1618042,39.0361928,6538.0395,747.52,255.069
120.1601576,38.3132366,5699.82931,702.628,204.944
115.4404907,39.7504438,9784.19898,770.383,133.247
117.4580582,38.1657125,6812.36284,718.92,206.301
118.5539139,41.4808836,9776.57888,737.022,160.017
117.0609131,38.7285756,9426.05462,762.694,183.62
116.8079834,39.1916773,4206.29115,511.155,0.208
116.7783633,40.7772465,6233.2358,781.118,14.135
116.2763115,38.7592621,4785.41819,615.525,332.201
120.6047456,38.801651,6759.02219,702.65,106.381
116.9168091,40.4824219,11308.21751,865.758,182.575
120.59552,38.7999868,1257.31529,426.909,51.34
116.9995728,40.1103973,10706.23019,902.844,339.967
116.8748169,39.8378689,4831.13875,653.756,180
116.8885007,39.3500977,4297.73226,512.626,336.584
117.4580582,38.1657125,6812.36284,718.101,206.169
120.132693,37.8797607,7193.36747,703.16,96.807
114.9546681,39.4017792,7802.97488,770.468,133.052
116.9918823,38.9709266,1638.31992,388.924,0.273
115.4907837,39.7527714,6484.69885,574.625,87.599
117.0134888,40.6444702,9784.19898,772.799,120.375
116.7227173,40.4303741,3604.30383,516.572,165.466
117.0831091,40.7929346,2788.95391,526.046,186.875
117.0610577,38.7267609,9433.67471,762.694,183.62
118.1245117,39.0452239,9639.41722,956.023,258.037
121.2445328,38.0631409,10698.6101,897.121,334.44
118.695274,38.4566345,6880.94367,685.823,64.058
117.1853768,37.3085175,10690.99,895.671,191.449
117.7462769,38.917345,1562.119,364.802,60.832
117.1310956,38.0144177,11323.45769,821.639,183.101
117.1213631,39.1268463,11300.59742,917.908,239.036
119.2030042,36.5119443,9784.19898,671.242,83.346
116.5361328,39.2378106,5090.2219,702.279,30.42
116.8111403,37.4810486,9479.39527,800.201,178.939
116.8770583,36.8714905,8107.77859,887.734,272.152
117.4044999,39.302124,807.72982,404.674,98.686
116.4399719,39.682663,2781.33382,382.719,219.699
117.3603157,39.1242371,0,0,295.313
120.6322114,38.2145924,7033.34553,679.815,133.786
116.5349081,39.2394104,5090.2219,702.279,30.42
117.3465231,39.1676331,236.22287,243.571,205.201
114.520813,40.365921,11917.82492,1024.991,258.325
116.179983,40.2411044,4053.8893,537.846,126.317
117.1062518,37.9330902,9479.39527,752.398,184.518
116.9995728,40.1103973,10706.23019,902.844,339.967
116.9918823,38.9709266,1638.31992,388.924,0.273
115.6190186,38.6911011,3634.7842,646.433,265.564
116.4517212,40.3718262,3459.52207,624.193,89.15
115.7261353,40.0074921,5417.88588,713.318,139.528
116.3937988,38.9570075,5547.42746,676.284,329.924
116.2649536,38.9103156,3604.30383,648.576,149.261
114.9546681,39.4017792,7802.97488,770.468,133.052
119.0734863,38.8865739,8869.78786,985.676,251.94
118.1663208,38.6950115,9174.59156,863.127,64.315
116.5331169,36.9625699,6614.24043,639.329,111.586
116.9918558,38.9734497,1630.69983,388.924,0.273
118.1651001,38.695477,9174.59156,863.127,64.315
116.5349081,39.2394104,5090.2219,702.26,31.301
117.3454932,39.13377,0,0,205.313
118.695274,38.4566345,6880.94367,685.823,64.058
119.7811293,37.6700708,7193.36747,695.726,99.036
117.6491845,37.1301114,7802.97488,774.395,330.799
116.8111403,37.4810486,9479.39527,802.053,178.942
117.0610577,38.7267609,9433.67471,762.694,183.62
116.8887395,39.3505554,4297.73226,512.626,336.584
116.6278076,39.7215349,2087.90539,383.436,1.107
115.4394996,39.7497253,9784.19898,770.383,133.247
116.8186788,38.3397217,9479.39527,740.267,191.985
117.4584165,38.1650608,6819.98293,718.101,206.169
116.7653822,38.8601532,2514.63058,415.088,295.079
116.9418202,39.6111145,3238.53938,590.788,0
116.8080444,39.193679,4206.29115,511.155,0.208
116.8748169,39.8378689,4831.13875,653.756,180
117.9779384,38.7706146,8412.5823,725.691,64.612
117.0160974,39.306839,7322.90905,762.813,183.759
120.1253476,38.3576008,6309.43672,792.539,191.73
116.9192505,39.1211972,8130.63887,752.24,185.935
114.6296758,38.9379272,11597.78103,848.461,178.624
118.2135334,37.5178528,8869.78786,839.044,203.962
116.9174194,39.5025997,10089.00268,873.557,188.903
117.3564048,39.1257706,0,0,0
118.1263136,39.0449524,9647.03731,956.023,258.037
117.1311646,40.8126068,1592.59937,484.715,186.582
116.3309326,38.774383,4206.29115,639.144,287.017
116.9905396,38.5695532,11026.27408,881.274,186.274
118.8883667,38.9065914,8107.77859,796.509,253.798
117.7456731,38.9176025,1562.119,364.802,60.832
117.3149336,37.3618011,6888.56376,730.778,171.254
117.4039307,39.3020526,807.72982,404.674,98.686
117.3466797,39.1674236,236.22287,243.571,205.201
117.6518117,37.1337891,7802.97488,774.395,330.799
116.8111187,37.4800912,9479.39527,802.053,178.942
114.2909546,40.1087952,10835.77176,748.21,90.142
116.9193115,39.1204524,8138.25896,752.24,185.935
119.5640259,38.7568794,8869.78786,977.549,252.355
117.0134888,40.6444702,9784.19898,772.799,120.375
117.4039307,39.3020526,807.72982,402.843,98.726
116.9168091,40.4824219,11308.21751,865.677,182.452
116.9089355,40.2722626,3009.9366,562.584,325.054
116.9920349,39.8149109,5852.23116,705.612,180
118.0463045,38.513855,5059.74153,699.105,334.25
116.4404907,39.6821982,2773.71373,382.719,219.699
118.0195063,40.7372116,9768.95879,880.98,302.989
118.8908187,38.9060669,8107.77859,796.509,253.798
115.3029746,36.8382289,53.34065,209.571,25.313
118.1618042,39.0361928,6538.0395,747.52,255.069
116.3942261,38.9575661,5547.42746,676.284,329.924
116.2649536,38.9103156,3604.30383,647.935,149.036
117.1213631,39.1268463,11300.59742,918.907,239.611
120.132693,37.8797607,7193.36747,703.16,96.807
116.9527817,36.5732574,5395.0256,596.347,89.822
114.6806667,39.203064,8412.5823,784.822,133.183
114.6909963,38.3474059,9799.43916,836.366,184.827
116.9918558,38.9738617,1630.69983,388.924,0.273
117.1055506,38.2964172,8862.16776,792.158,183.351
114.6849352,38.4047699,12222.62863,862.841,185.172
116.9261169,36.8729103,8107.77859,887.734,272.152
116.3340454,38.7751279,4206.29115,639.144,287.017
115.1248779,38.9324279,6012.25311,696.633,115.679
117.2706961,36.8518982,10089.00268,924.732,191.085
116.9658175,40.0387418,9464.15508,918.034,340.066
120.59552,38.7999868,1257.31529,426.909,51.34
120.6305993,38.2132889,7040.96562,679.815,133.786
115.4387831,39.749176,9784.19898,770.383,133.247
117.3454895,39.1337779,0,0,205.313
117.9771025,38.7708893,8412.5823,725.691,64.612
117.0831091,40.7929346,2788.95391,526.046,186.875
119.0926925,38.8816681,8869.78786,985.676,251.94
117.4590415,38.1640778,6835.22312,718.101,206.169
115.7175014,37.736175,7101.92636,791.359,335.234
120.4852693,38.2036991,9784.19898,741.439,133.583
116.8942261,40.694046,3596.68374,586.733,126.4
116.9169409,40.4802432,11308.21751,865.677,182.452
116.2772668,38.7607269,4785.41819,615.525,332.201
118.0463045,38.513855,5059.74153,697.437,334.183
116.9334984,36.4224701,6461.83858,758.262,345.285
118.5539139,41.4808836,9784.19898,737.022,160.017
117.0610577,38.7267609,9433.67471,760.845,183.629
117.4590415,38.1640778,6835.22312,717.26,206.367
115.7175014,37.736175,7101.92636,790.585,335.356
115.4871826,39.7529111,6515.17922,574.625,87.599
117.1310956,38.0144177,11323.45769,821.639,183.101
117.7452552,38.9177856,1562.119,364.802,60.832
120.1505127,40.8763733,6667.58108,724.994,194.498
116.8111187,37.4792532,9479.39527,802.053,178.942
117.0161743,39.3056837,7330.52914,762.813,183.759
116.9093628,40.2727661,3017.55669,562.584,325.054
116.2628174,38.9075224,3604.30383,647.935,149.036
118.8918338,38.905838,8107.77859,796.509,253.798
117.3468018,39.1671443,236.22287,243.571,205.201
118.1275675,39.0447235,9647.03731,956.023,258.037
116.9194893,39.1192932,8145.87905,752.24,185.935
116.3942261,38.9575661,5547.42746,676.284,329.924
117.4032593,39.3019595,807.72982,402.843,98.726
120.132693,37.8797607,7193.36747,703.16,96.807
115.6190186,38.6911011,3634.7842,637.201,265.499
115.8691406,39.7299143,3863.38698,556.491,86.757
117.3563995,39.125771,0,0,0
118.6936035,38.4572692,6865.70349,685.823,64.058
117.1239306,39.1257477,11300.59742,918.907,239.611
118.1618042,39.0361928,6538.0395,747.52,255.069
114.6806667,39.203064,8412.5823,784.822,133.183
116.7677705,38.8610229,2507.01049,415.088,295.079
118.046814,38.5147146,5059.74153,697.437,334.183
118.2153984,37.5144002,8869.78786,839.044,203.962
117.1853768,37.3085175,10690.99,895.671,191.449
116.9174194,39.5025997,10089.00268,873.557,188.903
117.3603973,39.1242696,0,0,295.313
116.3948324,38.9583893,5539.80736,676.284,329.924
115.6755482,40.3903043,7193.36747,773.604,62.944
116.6500854,39.593811,2857.53475,414.174,6.934
116.8080444,39.193679,4206.29115,511.155,0.208
116.9920349,39.8149109,5852.23116,705.612,180
116.8080736,39.19487,4206.29115,511.155,0.208
116.8080736,39.19487,4206.29115,511.236,358.962
121.2445328,38.0631409,10698.6101,897.121,334.44
120.1253476,38.3576008,6309.43672,792.526,191.047
116.9918823,38.974418,1630.69983,388.92,0
117.9760875,38.7713013,8412.5823,725.691,64.612
114.6909963,38.3474059,9799.43916,836.366,184.827
117.3454932,39.1337814,0,0,205.313
116.8887395,39.3505554,4297.73226,512.626,336.584
117.3468018,39.1671443,236.22287,243.571,205.201
117.0263672,40.8032227,4206.29115,620.644,151.676
116.9418335,39.6149768,3223.2992,590.788,0
118.5539139,41.4808836,9784.19898,737.022,160.017
116.0477101,40.1667139,5745.54987,666.576,131.396
117.0612793,38.7241997,9448.9149,760.845,183.629
117.7452552,38.9177856,1562.119,364.802,60.832
118.1275675,39.0447235,9647.03731,956.023,258.037
118.501222,38.8362579,2987.07632,546.679,20.215
116.8748169,39.835262,4853.99902,653.756,180
120.2878139,38.5196686,11308.21751,985.405,258.289
117.0161743,39.3056837,7330.52914,762.813,183.759
116.8111187,37.4792532,9479.39527,802.053,178.942
116.2772668,38.7607269,4785.41819,615.525,332.201
118.8918338,38.905838,8107.77859,796.509,253.798
116.3340454,38.7751279,4206.29115,639.144,287.017
118.1676025,39.0349825,6553.27969,747.52,255.069
116.8895158,39.3519745,4290.11217,512.626,336.584
117.3603973,39.1242696,0,0,295.313
118.1651001,38.695477,9174.59156,863.127,64.315
117.7446289,38.9180432,1562.119,364.802,60.832
