user_id,locale,birthyear,gender,joinedAt,location,timezone
3197468391,id_ID,1993,male,2012-10-02T06:40:55.524Z,Medan  Indonesia,480
3537982273,id_ID,1992,male,2012-09-29T18:03:12.111Z,Medan  Indonesia,420
823183725,en_US,1975,male,2012-10-06T03:14:07.149Z,Stratford  Ontario,-240
1872223848,en_US,1991,female,2012-11-04T08:59:43.783Z,Tehran  Iran,210
3429017717,id_ID,1995,female,2012-09-10T16:06:53.132Z,,420
627175141,ka_GE,1973,female,2012-11-01T09:59:17.590Z,Tbilisi  Georgia,240
2752000443,id_ID,1994,male,2012-10-03T05:22:17.637Z,Medan  Indonesia,420
3473687777,id_ID,1965,female,2012-10-03T12:19:29.975Z,Medan  Indonesia,420
2966052962,id_ID,1979,male,2012-10-31T10:11:57.668Z,Medan  Indonesia,420
264876277,id_ID,1988,female,2012-10-02T07:28:09.555Z,Medan  Indonesia,420
1534483818,en_US,1992,male,2012-09-25T13:38:04.083Z,Medan  Indonesia,420
2648135297,en_US,1996,female,2012-10-30T05:09:45.592Z,Phnom Penh,420
1355996271,id_ID,1993,female,2012-10-26T15:34:46.113Z,Djokja  Yogyakarta  Indonesia,420
2411726276,en_US,1996,female,2012-10-30T05:16:27.136Z,Triolet  Mauritius,240
1692345316,es_LA,None,male,2012-08-02T10:52:49.955Z,,-300
3786316231,fr_FR,1992,male,2012-09-04T00:22:54.707Z,,-240
2081587,ar_AR,1993,male,2012-08-21T06:32:50.000Z,,-240
184647001,id_ID,1990,male,2012-10-27T21:25:45.175Z,Surabaya  Indonesia,420
1013376584,id_ID,1993,male,2012-10-09T13:22:02.432Z,Medan  Indonesia,270
2686249984,en_US,None,male,2012-05-02T21:11:01.622Z,,-240
2276008938,id_ID,1988,male,2012-10-30T18:36:43.809Z,Djokja  Yogyakarta  Indonesia,420
1091720544,en_GB,1988,female,2012-10-30T11:55:19.469Z,Plaine Des Papayes  Pamplemousses  Mauritius,240
3593684261,en_US,1992,male,2012-10-31T03:36:55.378Z,Phnom Penh,420
839960040,en_US,1994,female,2012-10-28T10:57:09.302Z,Djokjakarta  Yogyakarta  Indonesia,420
3184414062,id_ID,1994,male,2012-11-01T05:13:49.690Z,Jombang  Jawa Timur  Indonesia,-300
84133998,en_US,1987,male,2012-06-15T22:23:01.375Z,,-240
851286067,id_ID,1993,male,2012-11-06T10:24:50.159Z,Jakarta  04,-300
3341263967,en_US,1988,female,2012-09-21T14:33:02.704Z,Toronto  Ontario,-240
1363661070,en_US,1994,female,2012-10-31T02:21:02.061Z,Phnom Penh,420
1911472832,en_US,1988,male,2012-11-05T21:34:31.570Z,Beverly Hills  California,-480
1186129084,en_US,1994,male,2012-10-17T12:53:47.092Z,Medan  Indonesia,-420
3704022334,en_US,1992,male,2012-10-28T06:48:45.086Z,San Juan  Puerto Rico,420
2396669325,pt_BR,1990,female,2012-10-21T00:33:28.364Z,Santos  Sao Paulo  Brazil,-120
2370879614,en_US,1981,male,2012-11-16T16:01:55.620Z,Toronto  Ontario,-300
1748125486,en_US,1993,male,2012-11-20T23:45:44.037Z,  ,480
3481126833,en_US,1980,female,2012-11-20T06:46:40.143Z,Palo Alto  CA,0
687155152,id_ID,1994,male,2012-09-29T04:09:57.335Z,Jambi City,420
3104149470,id_ID,1992,male,2012-10-18T15:50:49.503Z,Medan  Indonesia,420
4003794851,en_US,1985,female,2012-10-30T14:26:00.311Z,Phnom Penh,420
1000773879,en_US,1993,female,2012-07-11T03:04:29.622Z,,-240
4091235322,id_ID,1996,male,2012-10-15T10:54:19.320Z,Bekasi,420
1889728955,en_US,1993,female,None,None,420
